,0
0,-11.71279
1,-11.95382
2,-11.26427
3,-11.1546
4,-12.3709
5,-13.21208
6,-12.6223
7,-12.79918
8,-12.17763
9,-12.03728
10,-12.67039
11,-11.61082
12,-12.41189
13,-12.47784
14,-11.96906
15,-12.80653
16,-11.38639
17,-11.80951
18,-12.58239
19,-12.34492
20,-12.9543
21,-12.0156
22,-12.83729
23,-11.94279
24,-12.48137
25,-12.50644
26,-12.4243
27,-11.74909
28,-11.48869
29,-12.18525
30,-13.23396
31,-11.81751
32,-11.74966
33,-12.56571
34,-12.71494
35,-12.492
36,-12.34765
37,-12.46239
38,-12.40368
39,-12.50952
40,-11.5909
41,-12.83435
42,-12.50312
43,-12.07937
44,-11.51313
45,-12.5397
46,-11.96137
47,-12.07207
48,-12.35588
49,-12.93597
50,-11.45547
51,-12.11082
52,-12.54116
53,-12.83792
54,-12.21559
55,-11.87565
56,-12.3985
57,-12.37595
58,-11.99072
59,-12.41545
60,-11.62086
61,-12.06079
62,-11.88934
63,-12.09473
64,-13.42831
65,-12.51986
66,-11.74944
67,-11.92292
68,-11.85697
69,-13.08023
70,-12.71158
71,-11.81511
72,-12.3353
73,-11.97425
74,-12.69952
75,-11.53516
76,-11.45894
77,-11.81019
78,-12.48042
79,-13.80537
80,-12.32624
81,-12.37927
82,-13.51983
83,-12.54936
84,-11.48567
85,-12.44585
86,-12.90165
87,-11.35286
88,-11.8097
89,-11.65826
90,-11.82445
91,-13.84197
92,-11.44152
93,-12.54117
94,-12.25972
95,-12.1007
96,-11.79852
97,-11.71357
98,-13.10455
99,-11.08277
100,-11.8091
101,-12.7922
102,-12.55711
103,-12.3801
104,-12.72139
105,-11.1339
106,-12.21096
107,-11.52657
108,-12.54829
109,-12.58706
110,-12.24086
111,-11.51787
112,-11.74066
113,-12.6187
114,-12.54737
115,-11.50277
116,-12.88478
117,-12.8992
118,-12.43292
119,-12.43078
120,-10.84172
121,-12.72666
122,-12.27945
123,-10.94417
124,-11.58487
125,-11.23689
126,-12.97727
127,-12.24408
128,-11.98246
129,-11.06895
130,-10.78322
131,-11.11329
132,-11.38484
133,-12.76783
134,-12.2816
135,-11.80799
136,-11.89368
137,-11.55803
138,-11.13317
139,-12.82669
140,-12.2961
141,-11.528
142,-11.78321
143,-12.25917
144,-12.24364
145,-11.41299
146,-12.24906
147,-11.26366
148,-11.53175
149,-12.1716
150,-11.81638
151,-11.95495
152,-12.08488
153,-13.21724
154,-13.52815
155,-11.56439
156,-11.8036
157,-11.56114
158,-12.16153
159,-12.37331
160,-12.42673
161,-11.81568
162,-11.80803
163,-12.24491
164,-12.72892
165,-11.8467
166,-11.88874
167,-12.0882
168,-12.02352
169,-12.67714
170,-11.73974
171,-12.34032
172,-12.39846
173,-11.55069
174,-12.79219
175,-11.46718
176,-12.49679
177,-12.91144
178,-12.39742
179,-12.76723
180,-12.45356
181,-12.82497
182,-12.63908
183,-13.05688
184,-12.53065
185,-12.64964
186,-12.15662
187,-12.90304
188,-13.22989
189,-12.51862
190,-12.23839
191,-11.31186
192,-12.20056
193,-12.34461
194,-11.94006
195,-12.78022
196,-11.60572
197,-11.42844
198,-12.48648
199,-12.42789
200,-11.40015
201,-11.36486
202,-11.95751
203,-11.6007
204,-11.742
205,-12.61553
206,-12.13031
207,-12.88627
208,-11.38728
209,-11.93181
210,-11.06417
211,-12.15724
212,-10.69522
213,-11.01647
214,-11.75904
215,-11.74509
216,-11.56342
217,-11.45199
218,-10.779
219,-11.42801
220,-12.07901
221,-12.02564
222,-11.8946
223,-11.42192
224,-11.44027
225,-12.71931
226,-11.73287
227,-11.36661
228,-12.1703
229,-12.49649
230,-11.4168
231,-11.60418
232,-10.79725
233,-11.39545
234,-11.79948
235,-12.36777
236,-13.00448
237,-12.34069
238,-12.54629
239,-12.08881
240,-12.56962
241,-12.66756
242,-12.06666
243,-12.27269
244,-12.24219
245,-12.63564
246,-12.22169
247,-11.83007
248,-12.60074
249,-11.3548
250,-11.51891
251,-12.38111
252,-11.60806
253,-11.98306
254,-12.50698
255,-11.81245
256,-12.96631
257,-11.78568
258,-11.53673
259,-12.21845
260,-11.8475
261,-12.00499
262,-12.74933
263,-12.0943
264,-13.13164
265,-13.55218
266,-12.62344
267,-11.14906
268,-12.80512
269,-11.15838
270,-11.83088
271,-11.89319
272,-12.50116
273,-12.07159
274,-12.93343
275,-11.3807
276,-12.88516
277,-11.35395
278,-11.45677
279,-12.2447
280,-10.44679
281,-12.17099
282,-12.62531
283,-11.09878
284,-12.32117
285,-10.47424
286,-11.14083
287,-11.53938
288,-11.602
289,-10.55863
290,-11.11873
291,-10.94912
292,-10.94302
293,-11.55091
294,-10.97083
295,-10.14656
296,-11.21471
297,-9.17789
298,-12.01827
299,-10.55452
