,0
0,7.0001616478
1,7.2904100418
2,7.0273270607
3,6.8439927101
4,6.8557577133
5,7.207362175
6,6.9667572975
7,7.2468948364
8,6.8666853905
9,7.0674715042
10,7.0393705368
11,7.0514082909
12,7.0709218979
13,6.8968276978
14,7.0403761864
15,7.3334531784
16,6.7805190086
17,6.7226243019
18,7.3668122292
19,7.2123727798
20,7.1222777367
21,6.8767747879
22,7.0078306198
23,6.9238038063
24,7.0243024826
25,6.9545812607
26,7.0260705948
27,6.7702484131
28,6.8290510178
29,6.8882331848
30,7.2022399902
31,6.8966927528
32,6.9515175819
33,7.2391495705
34,7.2819800377
35,6.6671967506
36,7.0335578918
37,6.9893708229
38,7.0665802956
39,7.2113656998
40,6.8335328102
41,7.1755990982
42,6.995610714
43,7.0104346275
44,6.4145750999
45,7.0331068039
46,6.7541017532
47,7.1135053635
48,7.205435276
49,7.0717749596
50,6.8649177551
51,7.0090026855
52,6.977918148
53,7.1775865555
54,7.0885529518
55,6.7039270401
56,7.1323304176
57,7.1281266212
58,6.9191298485
59,6.792860508
60,6.8785896301
61,7.1238861084
62,7.1040639877
63,7.0902900696
64,6.9676094055
65,6.6479659081
66,6.8418807983
67,6.8953046799
68,6.7792434692
69,7.4009375572
70,7.1450643539
71,6.9245848656
72,6.9407615662
73,7.009396553
74,7.2144904137
75,7.0307364464
76,6.7614350319
77,6.8906087875
78,7.1776199341
79,7.314455986
80,7.1488800049
81,7.1513404846
82,7.4843344688
83,7.014936924
84,6.8538780212
85,6.9086966515
86,7.1795449257
87,7.1715269089
88,6.7779512405
89,6.9247665405
90,6.9664177895
91,7.4028334618
92,6.8191328049
93,6.9674363136
94,7.0106077194
95,7.2602462769
96,7.0273580551
97,6.9377202988
98,6.9871244431
99,7.0945830345
100,6.9719634056
101,6.9720520973
102,6.8333640099
103,7.2124137878
104,6.8556394577
105,6.570002079
106,6.9429864883
107,6.8900566101
108,6.9475011826
109,7.2911272049
110,6.9207229614
111,6.8356742859
112,6.9350309372
113,7.1252679825
114,7.347202301
115,6.8409395218
116,7.1956925392
117,6.9499702454
118,7.0851540565
119,6.8662147522
120,6.8959069252
121,7.1109495163
122,6.9624137878
123,6.8612518311
124,7.1230826378
125,7.0021743774
126,7.2752161026
127,7.2511377335
128,7.0379929543
129,6.6622900963
130,6.8718743324
131,6.8592252731
132,6.7540159225
133,7.394800663
134,7.0733137131
135,7.2529587746
136,7.3568992615
137,6.9702935219
138,6.868060112
139,7.0332016945
140,7.2035112381
141,6.8290510178
142,6.998896122
143,6.9790048599
144,7.426325798
145,6.898396492
146,7.1405591965
147,6.9110856056
148,7.0550704002
149,7.2575159073
150,7.0139985085
151,7.0339560509
152,7.0570921898
153,7.2103095055
154,7.3484587669
155,6.5453491211
156,7.1322898865
157,6.9238901138
158,6.9060950279
159,7.1817655563
160,7.1865830421
161,6.8311300278
162,7.2061257362
163,7.085442543
164,7.1073503494
165,7.1531982422
166,7.1813955307
167,7.2051811218
168,7.4573812485
169,7.3914861679
170,6.8192453384
171,7.4487328529
172,7.3174805641
173,7.1702942848
174,7.4579672813
175,7.1584014893
176,7.2763442993
177,7.3732962608
178,7.0689368248
179,7.2186112404
180,6.8540153503
181,7.1151885986
182,7.2369613647
183,7.1955809593
184,7.2284593582
185,7.123114109
186,7.3305130005
187,7.2402749062
188,7.2918868065
189,7.1808624268
190,7.2708101273
191,6.7091522217
192,7.0489616394
193,7.3305311203
194,6.9992508888
195,7.3304038048
196,7.099404335
197,7.0266671181
198,7.4066796303
199,7.1871056557
200,6.8447761536
201,7.1290917397
