Frame,RMSD_dock
0,3.137305
1,3.5610933
2,2.8454423
3,2.979733
4,3.6770928
5,2.459941
6,2.9160945
7,2.6229656
8,2.6613607
9,2.5904238
10,2.6807156
11,2.637316
12,2.3894856
13,2.7057376
14,3.0969434
15,2.8366408
16,2.8697736
17,2.9460921
18,3.0294561
19,3.1599402
20,2.7886033
21,3.061457
22,3.6610587
23,2.6318002
24,3.6564858
25,3.1941402
26,3.0439417
27,2.6870024
28,3.179887
29,2.7290125
30,3.36947
31,3.0734882
32,2.5751474
33,3.0150542
34,3.290757
35,3.4155803
36,3.0286345
37,3.465112
38,3.0411081
39,2.9750254
40,2.3508406
41,2.585905
42,2.3407755
43,2.8311405
44,2.500968
45,2.6503594
46,2.3329542
47,2.972655
48,2.9693055
49,2.6231863
50,2.644487
51,2.243858
52,2.2901328
53,2.9837515
54,2.787681
55,2.7172673
56,2.8409867
57,3.0337918
58,2.183217
59,2.4480999
60,2.6837056
61,2.6209931
62,2.4866004
63,2.9233952
64,2.3910835
65,3.0036633
66,2.9797752
67,2.7178183
68,2.6794047
69,2.0938911
70,2.491412
71,2.713838
72,2.3149993
73,2.3130407
74,2.4767916
75,2.2277193
76,2.0968645
77,3.2928214
78,2.6371975
79,2.6660895
80,2.8952935
81,1.9199865
82,2.9349475
83,2.9723558
84,2.5048363
85,2.48001
86,2.4797046
87,3.2222483
88,2.650848
89,2.9944577
90,2.4403615
91,2.9371943
92,2.7100384
93,3.1040187
94,2.8093383
95,2.9204116
96,2.8830237
97,2.764303
98,2.7176268
99,2.6952486
100,2.870841
101,2.4785197
102,3.1623125
103,3.1381302
104,3.0426607
105,3.1418746
106,3.3100193
107,3.4454546
108,3.1932976
109,3.8077078
110,2.9658258
111,2.5476403
112,2.5474746
113,2.8606312
114,2.5826678
115,2.2490077
116,2.5978708
117,2.2489746
118,2.5576
119,2.26981
120,2.2313523
121,2.5266583
122,2.70542
123,3.4257371
124,3.465374
125,3.666952
126,3.7006943
127,3.5171528
128,3.556463
129,3.3589823
130,3.3570392
131,3.2937942
132,2.7285402
133,3.5081546
134,3.233255
135,3.2559183
136,3.0623271
137,3.527953
138,3.4837418
139,3.8492913
140,3.826374
141,3.6053622
142,3.60019
143,3.535539
