Frame,RMSD_noFit_frame0
0,1.9373212
1,2.7492445
2,1.9507916
3,2.0937057
4,2.9151976
5,1.9672098
6,2.3452249
7,1.7397361
8,1.3311483
9,1.1350108
10,1.0197957
11,1.4205235
12,1.0742855
13,1.0031242
14,1.4069049
15,1.123289
16,0.8529458
17,1.0774065
18,1.4363632
19,1.4894453
20,1.0960909
21,1.9243726
22,2.5907376
23,1.6057873
24,2.4716504
25,1.8188611
26,2.4019425
27,1.8821291
28,1.7364384
29,1.7576089
30,2.4623494
31,2.1652427
32,1.6427023
33,1.8699309
34,1.8102298
35,2.4941814
36,2.008461
37,1.684784
38,1.8300564
39,1.7379491
40,1.267256
41,1.2006376
42,1.3306631
43,0.94240093
44,1.3728633
45,1.1446126
46,1.5660515
47,1.1807399
48,1.3785837
49,1.4771118
50,1.8249413
51,1.5314388
52,1.5377482
53,1.7593286
54,1.8788555
55,1.4887618
56,1.6412084
57,1.3951535
58,1.9353578
59,1.932285
60,1.48968
61,1.1520213
62,1.8701545
63,2.0424824
64,1.6058255
65,1.7265841
66,1.1208708
67,1.3319875
68,1.5518384
69,1.5368049
70,1.192856
71,2.069101
72,1.3687763
73,1.3332572
74,1.0760247
75,1.5218877
76,1.8917593
77,1.1359291
78,1.4708055
79,1.4299232
80,1.2910048
81,1.7017905
82,1.1820166
83,1.1352273
84,1.6263882
85,1.9361936
86,1.4900435
87,1.1731431
88,1.2410527
89,1.1192529
90,1.1544257
91,1.3722084
92,0.7643893
93,0.9170869
94,1.3041674
95,0.89623684
96,0.80349654
97,0.6195095
98,0.98438185
99,0.66912913
100,0.0
101,1.2728271
102,1.2215328
103,1.7117264
104,1.392325
105,1.8340583
106,1.6549882
107,1.9619867
108,1.7873387
109,2.2228765
110,1.5339973
111,1.6640743
112,1.493108
113,1.218326
114,1.0708085
115,1.4015365
116,1.4092085
117,1.4274555
118,1.2826744
119,1.5019466
120,1.3356504
121,1.4182426
122,1.1249063
123,2.011361
124,2.4278283
125,2.583518
126,2.7553198
127,2.400049
128,2.912096
129,2.8250124
130,2.334604
131,2.1304288
132,2.136295
133,2.5408552
134,1.5962006
135,2.2534268
136,1.804648
137,2.3392134
138,2.4436765
139,2.3967361
140,2.2104924
141,1.9615802
142,2.462213
143,2.7969122
144,2.5088944
145,1.9402893
146,2.3593838
147,2.3641558
148,3.1728482
149,2.733407
150,2.84075
151,2.5478287
152,3.434267
153,2.5513725
154,1.8015598
155,2.2431495
156,2.055409
157,1.9376975
158,1.77499
159,2.927266
160,3.3736434
161,2.898179
162,3.0009964
163,3.3283832
164,2.392489
165,2.2831385
166,1.8409741
167,2.1390607
168,1.5982431
169,1.9530488
170,1.5863646
171,2.3357673
172,2.2014701
173,2.187299
174,2.0317657
175,1.8729178
176,1.5304856
177,2.4008946
178,1.7626097
179,2.081322
180,1.9964396
181,2.171577
182,2.2329104
183,2.2162602
184,2.3481421
185,2.2274525
186,2.0752013
187,2.797119
188,3.2357342
189,3.2596347
190,3.47212
191,3.0768924
192,3.339877
193,3.26364
194,3.436448
195,2.8592582
196,3.0229578
197,2.9099154
198,3.0218818
199,2.9296954
200,3.503875
201,3.374455
202,2.914534
203,3.0459523
204,2.149812
205,2.6222878
206,2.5297353
207,2.9675438
208,3.3524187
209,3.0692234
210,3.7661662
211,3.73461
212,4.176938
213,4.0324774
214,4.0854464
215,3.4003808
216,3.045305
217,2.9778545
218,2.9338865
219,2.8291368
220,2.615784
221,3.0496795
222,2.9683976
223,3.731317
224,3.4340274
225,2.9482412
226,3.5785446
227,2.9631684
228,3.2756824
229,3.3640974
230,3.16789
231,3.3270822
232,2.5664446
233,3.2142718
234,2.8452046
235,2.8297906
236,2.990733
237,3.1943808
238,3.3956635
239,2.9424186
240,2.7497313
241,3.2040718
242,3.240904
243,3.616969
244,3.1239986
245,2.7900329
246,3.0452445
247,2.6633656
248,2.6470127
249,3.1383033
250,3.0434968
251,2.8807478
252,3.8023665
253,3.4147928
254,3.9493177
255,2.135386
256,1.9886405
257,2.1252718
258,3.085665
259,2.5144923
260,3.2279959
261,2.941935
262,2.90855
263,3.340857
264,2.6483846
265,3.0545118
266,3.149433
267,3.8613696
268,3.1316204
269,3.1455052
270,2.845802
271,2.6374931
272,3.0716364
273,3.0615053
274,3.2309506
275,3.6344652
276,3.5775325
277,3.867643
278,4.0072474
279,3.8636696
280,4.227467
281,3.7088823
282,3.6556869
283,3.4155312
284,3.122245
285,3.6360414
286,3.9617255
287,3.839861
288,4.811975
289,3.8628135
290,3.4238882
291,3.2763162
292,3.593717
293,2.9032364
294,3.9364076
295,4.4013243
296,3.53551
297,5.162459
298,3.5893908
299,3.802717
300,4.610682
301,4.0711083
302,4.982651
303,4.629737
304,4.5836205
305,4.996105
306,5.415213
307,4.036787
308,5.0127163
309,5.1330914
310,5.631807
311,4.8254685
312,4.7638636
313,4.613132
314,4.4448357
315,4.3082848
316,4.420771
317,4.152505
318,4.159489
319,4.253042
320,4.1943784
321,3.4317615
322,4.0912924
323,4.179152
324,3.9305983
325,4.015706
326,3.6776376
327,3.929316
328,3.853978
329,3.419566
330,3.245303
331,3.2827654
332,3.4267695
333,2.7736936
334,3.402125
335,3.577791
336,3.921739
337,3.9872963
338,3.2151067
339,3.7270226
340,3.826061
341,4.1154675
342,4.01798
343,3.8040357
344,4.630823
345,3.9202569
346,4.2477074
347,4.396154
348,4.1015024
349,3.9642546
350,4.3551908
351,4.288511
352,4.0846043
353,3.92323
354,4.480132
355,5.054323
356,4.640714
357,4.479339
358,4.2184563
359,4.8125677
360,4.9472437
361,4.997469
362,4.9692454
363,4.2096157
364,4.733627
365,4.780978
366,4.1796193
367,4.515194
368,4.0536633
369,4.778857
370,4.539572
371,4.9312825
372,4.7893257
373,4.1180906
374,4.9699197
375,5.2856236
376,4.468219
377,4.470558
378,3.9856188
379,4.176958
380,3.72592
381,4.0117073
382,3.722446
383,4.4824805
384,4.399543
385,3.9292223
386,4.6967425
387,4.3340607
388,3.7253783
389,4.5631504
390,3.9942522
391,4.4322553
392,4.34442
393,4.853272
394,4.3416166
395,4.2245903
396,4.3936305
397,4.5621653
398,4.7081523
399,4.6277695
400,3.8485706
401,4.198687
402,4.177244
403,4.251958
404,4.384422
405,4.080589
406,4.4238915
407,3.9744458
408,4.4873586
409,4.0040207
410,3.673607
411,4.057007
412,4.4942756
413,4.054288
414,4.900766
415,4.306971
416,4.3951564
417,4.0808887
418,4.6178117
419,4.2433987
420,3.8623192
421,3.740726
422,4.7360983
423,4.4257255
424,3.9766762
425,4.647616
426,4.6995597
427,4.196485
428,4.329332
429,4.7620816
430,4.8313723
431,4.5741425
432,4.9480133
433,4.8831396
434,5.400465
435,5.375551
436,5.3630085
437,5.0635166
438,5.216902
439,4.5111403
440,4.2492914
441,4.477782
442,4.4217997
443,4.8410873
444,4.705334
445,5.086501
446,5.352367
447,4.948659
448,4.7540975
449,4.806752
450,4.9614816
451,4.546922
452,4.841786
453,4.7786503
454,4.734763
455,4.755155
456,4.5054936
457,4.37186
458,4.7710795
459,4.689533
460,5.1108413
461,5.3431287
462,5.081266
463,4.4247894
464,5.3916936
465,4.80186
466,5.263085
467,4.420525
468,4.850966
469,5.1221747
470,5.5621924
471,4.957078
472,4.8132224
473,4.9486456
474,4.1880903
475,5.007803
476,4.7967553
477,4.936184
478,5.15409
479,4.4398675
480,4.070171
481,4.335507
482,5.4395504
483,5.4806886
484,5.233847
485,5.1334085
486,5.159437
487,5.0908327
488,4.5749664
489,4.6569376
490,4.249817
491,4.9476724
492,4.9145093
493,5.596221
494,5.8484454
495,5.7504244
496,6.003456
497,5.654112
498,5.6524663
499,5.3989606
500,5.30572
501,5.308803
502,5.8161254
503,5.2905555
504,5.688846
505,5.541308
506,5.58188
507,5.725149
508,6.0184045
509,6.3544493
510,5.6989007
511,5.65672
512,5.4974403
513,5.650711
514,5.8141255
515,5.380666
516,5.194775
517,5.038292
518,5.1986284
519,5.2368026
520,5.393517
521,5.0434275
522,5.4747334
523,5.839226
524,5.688755
525,5.596041
526,5.179761
527,5.2374544
528,5.487898
529,5.4856286
530,5.278992
531,5.386785
532,5.314237
533,5.345353
534,5.4607115
535,4.810108
536,4.7338233
537,5.216
538,4.7494755
539,5.0153503
540,5.3849506
541,5.513249
542,5.5608115
543,5.216265
